City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Gandorhun,SL,7.5,-11.8333,77.97,89,94,1.34,overcast clouds
151,Tasiilaq,GL,65.6145,-37.6368,30.36,92,78,4.09,broken clouds
152,Karaman,TR,37.0833,33.25,52.5,31,76,7.81,broken clouds
153,Faya,SA,18.3851,42.4509,62.58,47,0,5.28,clear sky
154,Aasiaat,GL,68.7098,-52.8699,31.5,90,100,4.99,overcast clouds
155,Barrow,US,71.2906,-156.7887,10.42,85,100,12.66,light snow
156,Nizhniy Ufaley,RU,55.9153,59.9842,50.79,75,20,9.48,few clouds
157,Saskylakh,RU,71.9167,114.0833,14.83,82,98,2.73,overcast clouds
158,Riverton,US,40.5219,-111.9391,69.04,21,0,9.22,clear sky
159,Lebu,CL,-37.6167,-73.65,49.69,83,55,10.4,broken clouds
160,Neuquen,AR,-38.9516,-68.0591,53.49,37,0,11.5,clear sky
161,Arrecife,ES,28.963,-13.5477,64.38,72,0,13.8,clear sky
162,Faanui,PF,-16.4833,-151.75,82.02,74,25,20.27,light rain
163,Malatya,TR,38.5,38.0,46.45,66,0,4.61,clear sky
164,Solnechnyy,RU,50.7214,136.6319,28.17,92,100,17.09,snow
165,Ostrovnoy,RU,68.0531,39.5131,15.55,78,27,25.37,scattered clouds
166,Simpang,ID,-1.2667,104.0833,82.51,79,71,0.25,broken clouds
167,Nanortalik,GL,60.1432,-45.2371,36.91,82,100,10.2,overcast clouds
168,Victoria,HK,22.2855,114.1577,85.96,78,0,5.99,clear sky
169,Careiro Da Varzea,BR,-3.2003,-59.8119,79.41,88,100,3.85,light rain
170,Rafsanjan,IR,30.4067,55.9939,66.6,40,100,3.67,overcast clouds
171,Alofi,NU,-19.0595,-169.9187,77.34,81,100,17.98,light rain
172,Saint George,US,37.1041,-113.5841,84.25,6,0,5.75,clear sky
173,Grenaa,DK,56.4158,10.8783,42.6,88,17,7.47,few clouds
174,Abbeville,FR,50.1,1.8333,41.49,94,0,6.11,clear sky
175,Kasaragod,IN,12.5,75.0,78.82,87,0,3.44,clear sky
176,Ous,RU,60.9058,61.5186,47.53,96,100,6.11,overcast clouds
177,Sistranda,NO,63.7256,8.834,31.96,57,100,7.87,light snow
178,De Aar,ZA,-30.6497,24.0123,47.93,51,0,8.84,clear sky
179,Virden,US,39.5009,-89.7679,53.31,62,0,4.43,clear sky
180,Torbay,CA,47.6666,-52.7314,35.76,95,100,10.0,fog
181,Hamilton,US,39.1834,-84.5333,51.01,58,3,3.0,clear sky
182,Kapoeta,SS,4.7717,33.5903,76.8,65,92,4.92,overcast clouds
183,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.76,100,100,3.44,mist
184,Guilin,CN,25.2819,110.2864,76.41,84,41,4.07,scattered clouds
185,Rio Grande,BR,-32.035,-52.0986,68.95,88,48,16.51,scattered clouds
186,Durango,MX,24.8333,-104.8333,54.5,81,100,16.84,overcast clouds
187,Krasnoselkup,RU,65.7,82.4667,22.01,89,100,11.61,overcast clouds
188,Samarai,PG,-10.6167,150.6667,84.31,69,95,0.85,overcast clouds
189,Katsuura,JP,35.1333,140.3,69.82,90,100,23.82,moderate rain
190,Lianran,CN,24.9227,102.485,69.12,33,0,4.94,clear sky
191,Cabo San Lucas,MX,22.8909,-109.9124,85.6,63,0,11.65,clear sky
192,Pontian Kecil,MY,1.4801,103.3899,81.43,83,81,4.54,broken clouds
193,Lima,PE,-12.0432,-77.0282,69.91,74,100,7.34,overcast clouds
194,Bossangoa,CF,6.4926,17.4552,70.48,94,100,4.97,light rain
195,Guerrero Negro,MX,27.9769,-114.0611,66.85,62,8,17.56,clear sky
196,Bandarbeyla,SO,9.4942,50.8122,80.82,82,65,3.02,broken clouds
197,Mumbwa,ZM,-14.9783,27.0619,61.81,90,14,5.01,few clouds
198,Wesselsbron,ZA,-27.8549,26.3658,47.88,39,0,5.79,clear sky
199,Tigil,RU,57.8,158.6667,32.02,83,100,7.45,overcast clouds
200,Mana,GF,5.6592,-53.7767,78.26,90,100,6.08,overcast clouds
201,Hualmay,PE,-11.0964,-77.6139,67.69,86,94,8.68,overcast clouds
202,Kindersley,CA,51.4668,-109.1682,59.59,38,100,26.19,overcast clouds
203,Chuy,UY,-33.6971,-53.4616,69.03,87,100,14.88,overcast clouds
204,Gainesville,US,29.6516,-82.3248,76.95,65,40,6.91,scattered clouds
205,Zapolyarnyy,RU,69.4154,30.8136,15.08,78,96,23.04,overcast clouds
206,Monrovia,LR,6.3005,-10.7969,80.31,86,98,6.78,light rain
207,Bathsheba,BB,13.2167,-59.5167,78.17,84,100,6.78,overcast clouds
208,Meadow Lake,US,34.8014,-106.5436,73.29,20,100,17.54,overcast clouds
209,Svidnik,SK,49.3082,21.5703,49.87,88,100,4.52,overcast clouds
210,Ulaangom,MN,49.9811,92.0667,41.45,23,100,1.23,overcast clouds
211,Chokurdakh,RU,70.6333,147.9167,13.86,91,100,9.31,overcast clouds
212,Gao,ML,16.6362,1.637,80.01,21,0,11.23,clear sky
213,Inverell,AU,-29.7833,151.1167,64.17,67,100,8.01,light rain
214,Resistencia,AR,-27.4606,-58.9839,86.05,77,0,11.5,clear sky
215,Manjacaze,MZ,-24.7117,33.8828,65.41,82,0,5.53,clear sky
216,Alihe,CN,50.5667,123.7167,43.07,31,80,9.08,broken clouds
217,Vao,NC,-22.6667,167.4833,75.06,58,100,18.75,overcast clouds
218,Quatre Cocos,MU,-20.2078,57.7625,73.51,81,37,8.5,light rain
219,Geraldton,AU,-28.7667,114.6,66.61,82,40,10.36,light rain
220,San Policarpo,PH,12.1791,125.5072,81.5,86,100,11.32,moderate rain
221,Myitkyina,MM,25.3833,97.4,81.16,44,0,1.57,clear sky
222,Ketchikan,US,55.3422,-131.6461,47.37,64,100,4.0,overcast clouds
223,Columbus,US,39.9612,-82.9988,45.01,65,20,8.05,few clouds
224,Jijiga,ET,9.35,42.8,63.75,82,47,3.15,scattered clouds
225,Palmerston,AU,-12.486,130.9833,87.78,70,20,4.61,few clouds
226,Dunedin,NZ,-45.8742,170.5036,54.81,84,94,7.0,overcast clouds
227,Olafsvik,IS,64.8945,-23.7142,42.31,78,91,3.65,overcast clouds
228,Bengkulu,ID,-3.8004,102.2655,79.97,81,33,3.87,scattered clouds
229,Nha Trang,VN,12.25,109.1833,86.0,68,88,0.51,overcast clouds
230,Portland,US,45.5234,-122.6762,56.95,69,93,8.99,overcast clouds
231,Itarema,BR,-2.9248,-39.9167,76.33,87,97,9.6,overcast clouds
232,Beaune,FR,47.0833,4.75,40.64,96,0,6.4,clear sky
233,Kyren,RU,51.6828,102.1408,39.42,39,22,1.34,few clouds
234,Dvinskoy,RU,62.1535,45.1175,35.17,98,100,4.09,overcast clouds
235,Pacific Grove,US,36.6177,-121.9166,67.55,70,20,14.0,few clouds
236,Tura,IN,25.5198,90.2201,75.94,89,5,6.8,clear sky
237,Shelburne,CA,44.0787,-80.2041,32.13,89,100,8.84,overcast clouds
238,Oruro,BO,-17.9833,-67.15,48.9,16,17,7.49,few clouds
239,Iquitos,PE,-3.7481,-73.2472,76.69,77,100,2.19,overcast clouds
240,General Roca,AR,-39.0333,-67.5833,54.63,39,100,17.72,overcast clouds
241,Kaeo,NZ,-35.1,173.7833,66.33,73,10,1.01,clear sky
242,Luderitz,NA,-26.6481,15.1594,63.95,47,0,9.35,clear sky
243,Tripoli,LY,32.8752,13.1875,63.59,72,7,13.58,clear sky
244,Yar-Sale,RU,66.8333,70.8333,34.16,99,100,21.65,light snow
245,Tabou,CI,4.423,-7.3528,79.11,85,100,4.97,light rain
246,Gamba,GA,-2.65,10.0,77.56,91,100,4.61,light rain
247,Banda Aceh,ID,5.5577,95.3222,81.21,85,100,7.0,overcast clouds
248,Bria,CF,6.5423,21.9863,70.52,95,100,3.62,overcast clouds
249,Leningradskiy,RU,69.3833,178.4167,20.21,85,94,13.29,overcast clouds
